ProductId,ProductName,Supplier,ProductCost
62,Wheat - Soft Kernal Of Wheat,Tuesday Morning,2.09
63,Bulgar,Renys,3.48
64,"Pasta - Orzo, Dry",Kmart,1.31
65,Tea - Lemon Scented,Meijer,1.04
66,Tray - 12in Rnd Blk,Dollar General,0.78
67,Peppercorns - Pink,Marshalls,6.38
68,Sauce - Vodka Blush,Roses,2.27
69,"Appetizer - Mini Egg Roll, Shrimp",Walmart,2.13
70,Cheese - Fontina,BJ's Wholesale Club,0.27
71,Cattail Hearts,Ollie's Bargain Outlet,5.49
72,Napkin White - Starched,Target,1.65
73,Pork - Ham Hocks - Smoked,Harbor Freight Tools,2.97
74,"Lamb - Whole Head Off,nz",Bi-Mart,0.51
75,Filo Dough,BJ's Wholesale Club,3.24
76,Jerusalem Artichoke,Marshalls,0.16
77,Cookie Dough - Chunky,Shopko,4.04
78,Wine - Semi Dry Riesling Vineland,Meijer,1.86
79,Spice - Pepper Portions,T.J. Maxx,2.1
80,Aspic - Amber,Target,2.88
81,Leeks - Large,Ben Franklin,2.42
82,Easy Off Oven Cleaner,HomeGoods,0.56
83,White Baguette,Fred Meyer,1.21
84,Petit Baguette,Marshalls,2.1
85,Chives - Fresh,Roses,2.24
86,Tea - Herbal Sweet Dreams,National Stores,0.04
87,Dasheen,T.J. Maxx,1.4
88,"Nut - Walnut, Chopped",Ollie's Bargain Outlet,7.85
89,Pop Shoppe Cream Soda,Ross Stores,9.62
90,Island Oasis - Magarita Mix,Harbor Freight Tools,2.82
91,Chicken - Leg / Back Attach,Fred Meyer,0.59
92,Loquat,Costco,1.43
93,"Wine - Red, Black Opal Shiraz",Gordmans,5.28
94,Vacuum Bags 12x16,Big Lots,1.59
95,Bag - Clear 7 Lb,Gordmans,0.55
96,"Lemonade - Strawberry, 591 Ml",Stein Mart,1.56
97,"Soup - Beef Conomme, Dry",T.J. Maxx,3.67
98,Appetizer - Veg Assortment,Burlington Coat Factory,1.55
99,Cookies - Englishbay Wht,Kmart,8.84
100,Coffee - Decafenated,Dd's Discounts,2.17
101,Fork - Plastic,BJ's Wholesale Club,0.54
102,Foie Gras,HomeGoods,0.13
103,Country Roll,Roses,1.16
104,Sauerkraut,Meijer,2.82
105,Hagen Daza - Dk Choocolate,Gabe's,1.74
106,Red Currants,Shopko,1.25
107,Cheese - Valancey,Family Dollar,4.92
108,Pepper - Green Thai,T.J. Maxx,1.78
109,Tomato - Plum With Basil,Gordmans,0.41
110,Snapple Raspberry Tea,Burlington Coat Factory,2.29
111,Rice Paper,Five Below,1.59
112,Pastry - French Mini Assorted,Family Dollar,1.49
113,Lobster - Cooked,Ocean State Job Lot,7.03
114,Wine - Rubyport,Ben Franklin,2.64
115,"Lemonade - Kiwi, 591 Ml",Roses,3.44
116,"Salmon - Atlantic, No Skin",Meijer,1.79
117,Flour - Rye,Ben Franklin,11.39
118,Oil - Sunflower,Roses,2.45
119,Tomatillo,Bi-Mart,1.09
120,Flour - Chickpea,Shopko,0.39
121,Soup - Campbells Chili,Fred Meyer,0.51
122,Cheese - Marble,Dollar General,2.66
123,"Capon - Breast, Double, Wing On",Roses,3.3
124,Pernod,Five Below,4.74
125,"Pasta - Orzo, Dry",Roses,0.28
126,Sauce - Caesar Dressing,Family Dollar,1.68
127,Chicken - White Meat With Tender,Marshalls,0.96
128,"Yogurt - Raspberry, 175 Gr",Dollar Tree,2.24
129,Compound - Orange,Dd's Discounts,0.81
130,Calypso - Lemonade,Big Lots,0.22
131,Sesame Seed Black,Dollar Tree,2.26
132,"Pork - Bacon,back Peameal",HomeSense,3.35
133,Allspice - Jamaican,Ollie's Bargain Outlet,0.71
134,Coffee Cup 12oz 5342cd,Bargain Hunt,3.35
135,Bread - Sour Batard,Meijer,0.81
136,Bandage - Fexible 1x3,Family Dollar,4.17
137,Seaweed Green Sheets,Five Below,2.28
138,Beef - Montreal Smoked Brisket,Big Lots,4.59
139,Lemon Pepper,Shopko,0.68
140,Wine - Delicato Merlot,T.J. Maxx,1.14
141,"Juice - Orange, 341 Ml",Roses,2.74
142,Crab Brie In Phyllo,Family Dollar,2.02
143,Muffin - Bran Ind Wrpd,BJ's Wholesale Club,0.39
144,Kellogs Special K Cereal,Gabe's,2.52
145,Ecolab - Mikroklene 4/4 L,Kmart,1.17
146,Cabbage - Nappa,Roses,0.12
147,Energy Drink Bawls,Ross Stores,0.95
148,"Juice - Apple, 341 Ml",Dd's Discounts,5.42
149,Paper - Brown Paper Mini Cups,HomeSense,8.07
150,Cookies Almond Hazelnut,Bi-Mart,0.43
151,"Chilli Paste, Ginger Garlic",Dd's Discounts,0.34
152,Maple Syrup,Family Dollar,4.31
153,Soup Campbells Beef With Veg,HomeGoods,1.98
154,Milk - Buttermilk,Ross Stores,2.25
155,"Soup - French Onion, Dry",Burlington Coat Factory,3.99
156,Chicken - Tenderloin,Family Dollar,1.91
157,Beer - Heinekin,Ben Franklin,0.28
158,Browning Caramel Glace,Big Lots,1.61
159,Tobasco Sauce,Bi-Mart,0.51
160,Coffee - Decaffeinato Coffee,Big Lots,7.15
161,Cheese - Brick With Pepper,Walmart,1.31
162,Chip - Potato Dill Pickle,Stein Mart,1.92
163,Peppercorns - Green,Costco,2.2
164,Island Oasis - Peach Daiquiri,Meijer,0.7
165,Sage Derby,Ocean State Job Lot,4
166,"Pork - Bacon, Sliced",Target,1.52
167,Goat - Whole Cut,Ollie's Bargain Outlet,2.38
168,"Tart Shells - Sweet, 3",Gabe's,5.61
169,Bay Leaf Fresh,Roses,2.2
170,"Cheese - Brie,danish",HomeSense,3.24
171,Longos - Cheese Tortellini,Walmart,4.4
172,Sunflower Seed Raw,Gabe's,2.23
173,Beef - Tenderloin Tails,Bargain Hunt,2.05
174,Paper Towel Touchless,Target,2.63
175,Muffin Mix - Carrot,Ben Franklin,0.34
176,Sambuca Cream,Roses,0.1
177,Plasticforkblack,Renys,3.12
178,"Cheese - Brie,danish",T.J. Maxx,5.64
179,"Pasta - Detalini, White, Fresh",Tuesday Morning,2.11
180,Napkin White,Ocean State Job Lot,2.14
181,Cup Translucent 9 Oz,Walmart,0.28
182,"Juice - Apple, 500 Ml",Family Dollar,4.15
183,Wine - Kwv Chenin Blanc South,Ben Franklin,1.56
184,"Beets - Candy Cane, Organic",Ollie's Bargain Outlet,5.26
185,Table Cloth 54x72 Colour,Bargain Hunt,2.96
186,Flour - Teff,BJ's Wholesale Club,0.51
187,Cheese - Pont Couvert,Shopko,4.84
188,Chocolate Liqueur - Godet White,Burlington Coat Factory,4.51
189,Brandy Cherry - Mcguinness,Shopko,3.05
190,"Lemonade - Island Tea, 591 Ml",Shopko,1.07
191,Loquat,Ollie's Bargain Outlet,0.19
192,Beer - Blue,Walmart,3.33
193,"Mushroom - Morels, Dry",Dollar Tree,1.23
194,Pears - Bartlett,Roses,0.86
195,"Tart Shells - Sweet, 4",Ocean State Job Lot,0.02
196,"Wine - Red, Black Opal Shiraz",Walmart,1.43
197,Yogurt - Assorted Pack,Renys,1.74
198,Shark - Loin,Kmart,1.49
199,Apricots - Dried,Costco,1.64
200,Scampi Tail,Five Below,2.81
201,Kolrabi,Fred Meyer,0.55
202,"Garlic - Primerba, Paste",Marshalls,1.78
203,"Pork - Tenderloin, Fresh",Tuesday Morning,1.59
204,"Soup - Knorr, Country Bean",Ollie's Bargain Outlet,0.54
205,Shichimi Togarashi Peppeers,Ocean State Job Lot,0.65
206,Shortbread - Cookie Crumbs,T.J. Maxx,2.38
207,Shrimp - Tiger 21/25,Ollie's Bargain Outlet,1.24
208,Ice Cream Bar - Drumstick,Ocean State Job Lot,2.39
209,Island Oasis - Ice Cream Mix,Ollie's Bargain Outlet,0.31
210,Ice Cream Bar - Hagen Daz,Fred's,1.34
211,Squash - Guords,Roses,0.58
212,Tomato - Peeled Italian Canned,Meijer,1.64
213,Chips - Doritos,Shopko,1.96
214,Nantucket - 518ml,HomeSense,0.43
215,Vinegar - Sherry,Bi-Mart,0.52
216,"Beets - Candy Cane, Organic",Dollar Tree,1.02
217,"Tarragon - Primerba, Paste",Marshalls,1.32
218,Salt And Pepper Mix - White,BJ's Wholesale Club,0.08
219,Whmis - Spray Bottle Trigger,Gabe's,1.58
220,Vodka - Moskovskaya,Burlington Coat Factory,3.01
221,Syrup - Monin - Granny Smith,Target,0.7
222,Muffin - Carrot Individual Wrap,Gordmans,1.76
223,Mix Pina Colada,Ocean State Job Lot,0.9
224,"Pasta - Spaghetti, Dry",Ben Franklin,1.92
225,Cheese - Colby,Costco,4.8
226,"Veal - Brisket, Provimi,bnls",Stein Mart,0.88
227,Wine - Clavet Saint Emilion,Gabe's,1.59
228,Cake - Mini Potato Pancake,Big Lots,0.64
229,Chevril,Fred's,0.48
230,Peas Snow,Renys,2.56
231,Pate Pans Yellow,Renys,1.76
232,Bread Base - Toscano,Ben Franklin,0.6
233,"Pasta - Fusili, Dry",Bargain Hunt,0.3
234,Pork Ham Prager,T.J. Maxx,2.62
235,Sauce - Balsamic Viniagrette,Family Dollar,0.18
236,"Mushrooms - Black, Dried",Fred Meyer,0.47
237,Bread Bowl Plain,Stein Mart,3.71
238,"Pepper - Green, Chili",Costco,6.95
239,Container - Foam Dixie 12 Oz,Family Dollar,4.4
240,Lid - 3oz Med Rec,Burlington Coat Factory,4.85
241,Tray - 16in Rnd Blk,T.J. Maxx,0.88
242,Extract - Raspberry,Harbor Freight Tools,0.93
243,Potato - Sweet,Big Lots,0.44
244,Goat - Whole Cut,Harbor Freight Tools,0.59
245,Coffee - Hazelnut Cream,Burlington Coat Factory,0.01
246,Yoplait - Strawbrasp Peac,HomeSense,2.26
247,Veal - Leg,Five Below,2.24
248,Sultanas,Kmart,12.05
249,Cake - Pancake,National Stores,2.04
250,Chicken Thigh - Bone Out,Dd's Discounts,1.43
251,Lettuce - Escarole,Five Below,0.86
252,"Carrots - Purple, Organic",Harbor Freight Tools,0.12
253,Hand Towel,Stein Mart,2.34
254,Sprouts - Brussel,Ross Stores,0.36
255,Beef - Prime Rib Aaa,BJ's Wholesale Club,0.86
256,Beef - Tenderloin - Aa,Shopko,0.81
257,Bonito Flakes - Toku Katsuo,National Stores,1.44
258,Bagel - Sesame Seed Presliced,Stein Mart,0.76
259,Triple Sec - Mcguinness,Ben Franklin,3.84
260,Wine - Cousino Macul Antiguas,Fred Meyer,2.95
261,"Lentils - Green, Dry",Gabe's,0.32
262,Beef - Kobe Striploin,T.J. Maxx,0.66
263,Lobster - Live,Marshalls,0.57
264,"Wine - Magnotta - Red, Baco",National Stores,0.98
265,Foil - 4oz Custard Cup,Kmart,1.7
266,Ginger - Crystalized,Marshalls,1.86
267,Eggwhite Frozen,Ben Franklin,1.68
268,Spice - Chili Powder Mexican,Costco,0.61
269,Sword Pick Asst,Dollar General,1.64
270,"Tarragon - Primerba, Paste",Renys,3.1
271,Butcher Twine 4r,Burlington Coat Factory,1.53
272,"Wine - White, Riesling, Semi - Dry",Gordmans,4.18
273,Bread Base - Italian,Kmart,0.19
274,Peas - Frozen,Target,2.84
275,Tart - Lemon,Costco,0.96
276,Coffee - Irish Cream,Fred Meyer,2.3
277,Kumquat,Walmart,1.98
278,Flower - Commercial Bronze,T.J. Maxx,0.43
279,Strawberries - California,Kmart,2.6
280,Wine - Magnotta - Cab Franc,Gabe's,1.76
281,Foam Tray S2,Five Below,1.93
282,"Pork - Loin, Center Cut",Gabe's,1.13
283,Bread - Granary Small Pull,HomeSense,0.17
284,Five Alive Citrus,Gabe's,0.21
285,Horseradish - Prepared,Dd's Discounts,3.17
286,Island Oasis - Ice Cream Mix,Walmart,2.8
287,Veal - Bones,T.J. Maxx,0.11
288,"Crab - Claws, Snow 16 - 24",Renys,3.34
289,Gatorade - Lemon Lime,Five Below,2.33
290,"Jam - Raspberry,jar",Burlington Coat Factory,0.18
291,Lettuce - Curly Endive,Fred Meyer,0.14
292,"Quail - Whole, Boneless",National Stores,2.15
293,Ecolab Crystal Fusion,Ben Franklin,0.17
294,Shopper Bag - S - 4,Marshalls,0.52
295,Muffin - Bran Ind Wrpd,BJ's Wholesale Club,0.39
296,"Sauce - White, Mix",Gabe's,1.73
297,Marjoram - Fresh,Fred Meyer,4.89
298,Hog / Sausage Casing - Pork,Fred Meyer,5.68
299,Kaffir Lime Leaves,Harbor Freight Tools,2.38
300,Beef - Kobe Striploin,Ross Stores,0.89
301,Wheat - Soft Kernal Of Wheat,Dollar Tree,3.35
302,Soap - Pine Sol Floor Cleaner,Ben Franklin,1.65
303,Scallops - Live In Shell,Kmart,4.04
304,Rum - Mount Gay Eclipes,Meijer,0.89
305,"Oregano - Dry, Rubbed",Burlington Coat Factory,0.19
306,Cake - Night And Day Choclate,Ocean State Job Lot,2.71
307,Tomatoes,Ollie's Bargain Outlet,2.36
308,White Baguette,BJ's Wholesale Club,1.02
309,Vaccum Bag - 14x20,Fred's,0.11
310,Vinegar - Raspberry,HomeSense,1.48
311,Longos - Chicken Caeser Salad,National Stores,2.19
312,"Jam - Strawberry, 20 Ml Jar",HomeSense,2.83
313,Wine - Merlot Vina Carmen,Burlington Coat Factory,2.72
314,"Oil - Olive, Extra Virgin",Five Below,5.29
315,Table Cloth 90x90 Colour,HomeGoods,0.09
316,Cabbage - Green,Stein Mart,1.94
317,Oil - Margarine,Burlington Coat Factory,4.03
318,Glass Clear 7 Oz Xl,Fred's,0.64
319,Oil - Safflower,Shopko,2.22
320,Wine - Domaine Boyar Royal,Family Dollar,0.31
321,Pimento - Canned,Dollar General,0.4
322,Sauce - Sesame Thai Dressing,T.J. Maxx,2.37
323,Jerusalem Artichoke,Stein Mart,1.38
324,Eggplant Oriental,T.J. Maxx,0.32
325,Versatainer Nc - 888,Dd's Discounts,2.51
326,Juice - Orangina,Costco,1.62
327,External Supplier,Gabe's,3.72
328,Pan Grease,Dollar General,1.25
329,Onions Granulated,Burlington Coat Factory,2.07
330,Beets - Pickled,Gabe's,2.42
331,Glass Clear 8 Oz,Ben Franklin,1.22
332,Beer - Maudite,Ollie's Bargain Outlet,1.91
333,Cleaner - Comet,Ross Stores,1.03
334,Goldschalger,Roses,6.67
335,Olives - Stuffed,Target,0.63
336,Bouillion - Fish,Tuesday Morning,2.02
337,Wine - Cousino Macul Antiguas,Shopko,5.25
338,Rosemary - Fresh,Ben Franklin,1.28
339,Brandy Apricot,Shopko,1.01
340,Thyme - Fresh,HomeGoods,0.82
341,Shrimp - Black Tiger 26/30,Stein Mart,0.22
342,Longos - Burritos,Gabe's,2.36
343,Beef - Tenderloin Tails,Gabe's,1.34
344,Honey - Liquid,Ross Stores,0.67
345,"Juice - Apple, 1.36l",Ollie's Bargain Outlet,0.4
346,Plasticspoonblack,BJ's Wholesale Club,3.27
347,Ecolab - Hobart Upr Prewash Arm,Ollie's Bargain Outlet,0.28
348,Cheese Cloth,Ollie's Bargain Outlet,1.88
349,Wooden Mop Handle,Ollie's Bargain Outlet,0.38
350,Herb Du Provence - Primerba,Bargain Hunt,1.61
351,Asparagus - Frozen,Dollar Tree,0.29
352,Cotton Wet Mop 16 Oz,Harbor Freight Tools,0.36
353,Momiji Oroshi Chili Sauce,HomeSense,2.9
354,Beer - Creemore,Fred's,0.44
355,Table Cloth 62x114 White,Meijer,2.1
356,Sugar - Icing,Marshalls,2.28
357,Sausage - Andouille,Fred's,3.43
358,Wine - Riesling Dr. Pauly,BJ's Wholesale Club,2.55
359,Bread - Rye,Harbor Freight Tools,1.9
360,Venison - Striploin,Ross Stores,2.1
361,Wine - Shiraz Wolf Blass Premium,T.J. Maxx,0.87
362,Veal - Heart,Ben Franklin,0.26
363,Emulsifier,Walmart,1.86
364,Salami - Genova,Marshalls,1.9
365,Raspberries - Fresh,Fred's,0.54
366,Flavouring - Orange,Harbor Freight Tools,1.71
367,Salmon - Fillets,Ocean State Job Lot,8.88
368,Lotus Leaves,Renys,1.03
369,Cheese - Marble,Dd's Discounts,2.41
370,Red Currants,Gordmans,0.94
371,Pepper - Cubanelle,Ben Franklin,3.66
372,Melon - Honey Dew,Walmart,0.81
373,Lemonade - Pineapple Passion,Family Dollar,0.65
374,Carrots - Jumbo,National Stores,0.25
375,Arizona - Green Tea,Dollar Tree,3.02
376,Spic And Span All Purpose,Meijer,1.12
377,Steamers White,Walmart,1.62
378,"Yogurt - Cherry, 175 Gr",Fred's,2.46
379,Crackers - Soda / Saltins,Roses,0.47
380,Sauce - Fish 25 Ozf Bottle,Costco,0.65
381,Cream - 10%,Stein Mart,0.75
382,"Beef - Bones, Marrow",Costco,2.34
383,Cotton Wet Mop 16 Oz,Ross Stores,0.73
384,Pork - Smoked Back Bacon,Ben Franklin,2.05
385,Wine - Montecillo Rioja Crianza,Ben Franklin,0.82
386,Cream - 35%,Gabe's,0.75
387,Cardamon Seed / Pod,Harbor Freight Tools,1.16
388,Chutney Sauce,T.J. Maxx,2.72
389,"Squash - Pattypan, Yellow",T.J. Maxx,0.17
390,"Pork - Back, Long Cut, Boneless",Dollar Tree,2.92
391,Ice Cream - Fudge Bars,Family Dollar,1.2
392,"Pepper - Green, Chili",Fred's,1.41
393,Chivas Regal - 12 Year Old,Walmart,0.42
394,Gingerale - Diet - Schweppes,Family Dollar,1.01
395,Onions - Cooking,Five Below,0.96
396,Wine - Chateau Aqueria Tavel,HomeGoods,1.95
397,"Yogurt - Banana, 175 Gr",Roses,1.44
398,Dried Figs,Dollar General,1.76
399,Lamb Leg - Bone - In Nz,Target,6.81
400,Lettuce - Baby Salad Greens,Dollar General,0.39
401,Cheese - Mozzarella,Kmart,1.05
402,Bagel - Sesame Seed Presliced,Ollie's Bargain Outlet,1.93
403,"Lemonade - Black Cherry, 591 Ml",Family Dollar,0.76
404,Coffee Cup 16oz Foam,Fred Meyer,2.51
405,"Juice - Clamato, 341 Ml",Family Dollar,2.1
406,Bread - Multigrain,Meijer,1.9
407,Beer - Mill St Organic,Walmart,2.33
408,Olives - Kalamata,HomeSense,2.21
409,"Lamb - Loin, Trimmed, Boneless",Dollar General,1.04
410,Oil - Avocado,Ben Franklin,1.16
411,"Cake Circle, Foil, Scallop",Walmart,0.62
412,Table Cloth 54x72 Colour,Burlington Coat Factory,4.8
413,Pepper - Chili Powder,Bi-Mart,2.05
414,Beans - French,Costco,0.43
415,Guava,Burlington Coat Factory,1.65
416,Curry Powder,Kmart,2.5
417,Wine - Montecillo Rioja Crianza,Ben Franklin,2.13
418,Rice - Aborio,Gordmans,0.92
419,"Potatoes - Instant, Mashed",Shopko,1.27
420,"Lamb - Whole Head Off,nz",Kmart,2.24
421,Bacardi Limon,Marshalls,1.15
422,Devonshire Cream,Dollar General,3.02
423,Country Roll,Dollar General,1.01
424,"Coke - Classic, 355 Ml",Ocean State Job Lot,0.09
425,Sauce - Hp,Fred's,1.52
426,Table Cloth 144x90 White,National Stores,1.75
427,Eggplant Oriental,T.J. Maxx,2.33
428,Lettuce - Boston Bib - Organic,Walmart,1.47
429,Black Currants,Five Below,4.53
430,Wine - Fume Blanc Fetzer,Marshalls,2.74
431,Mustard - Seed,Ross Stores,1.72
432,"Stock - Chicken, White",Kmart,0.48
433,"Quail - Whole, Bone - In",Roses,1.63
434,"Placemat - Scallop, White",Ben Franklin,1.18
435,Remy Red Berry Infusion,Gordmans,2.93
436,Eggroll,Dollar General,0.65
437,Beans - Green,Ben Franklin,0.71
438,Bagel - Sesame Seed Presliced,Gabe's,1.95
439,Lamb - Sausage Casings,Dollar Tree,2.96
440,Clams - Canned,Kmart,0.51
441,Vector Energy Bar,Walmart,0.96
442,Chutney Sauce,Bargain Hunt,3.26
443,Crackers - Water,Shopko,0.42
444,Gherkin,Kmart,0.25
445,"Nut - Hazelnut, Ground, Natural",T.J. Maxx,4.06
446,Flower - Leather Leaf Fern,Dd's Discounts,1.56
447,Onion Powder,Ross Stores,1.61
448,"Turkey - Breast, Double",Gordmans,0.61
449,Flour - Semolina,Five Below,2.3
450,"Bread - Roll, Canadian Dinner",Ollie's Bargain Outlet,0.82
451,"Pail - 4l White, With Handle",Costco,1.36
452,Breadfruit,Gabe's,3.04
453,Tomato Paste,Gordmans,2.84
454,Cumin - Ground,Family Dollar,1.8
455,"Juice - Grape, White",Ben Franklin,2.06
456,Pastry - Chocolate Chip Muffin,Burlington Coat Factory,2.17
457,Lettuce - Belgian Endive,Walmart,2.04
458,Five Alive Citrus,Harbor Freight Tools,1.75
459,Vol Au Vents,Meijer,0.35
460,"Wine - White, Ej",Bargain Hunt,0.99
461,Soup - Tomato Mush. Florentine,Renys,2.77
462,Sambuca Cream,Roses,1.66
463,"Veal - Chops, Split, Frenched",Ben Franklin,0.09
464,Vinegar - Cider,Renys,1.29
465,Daikon Radish,Dollar Tree,2.46
466,Ginger - Ground,Walmart,1.27
467,Squid - U - 10 Thailand,Renys,0.51
468,Wine - Baron De Rothschild,Bargain Hunt,2.86
469,Samosa - Veg,Shopko,0.46
470,"Orange - Canned, Mandarin",Dollar Tree,0.76
471,Pastry - Choclate Baked,BJ's Wholesale Club,0.02
472,Parsley Italian - Fresh,Ben Franklin,4.77
473,Bacardi Raspberry,Fred's,4.43
474,"Cheese - Cheddar, Old White",T.J. Maxx,0.19
475,Towel Dispenser,Five Below,1.59
476,Beer - Creemore,Tuesday Morning,0.73
477,Spice - Paprika,Bargain Hunt,0.82
478,"Tendrils - Baby Pea, Organic",Renys,0.05
479,"Iced Tea - Lemon, 460 Ml",Tuesday Morning,0.6
480,Oil - Grapeseed Oil,Gabe's,4.13
481,Lambcasing,HomeSense,0.5
482,Eggplant Italian,Ocean State Job Lot,0.8
483,Tea - Green,HomeGoods,1.24
484,Potatoes - Mini Red,Dollar General,3.27
485,Wine - Dubouef Macon - Villages,Ocean State Job Lot,2.24
486,Ginger - Fresh,Dd's Discounts,0.71
487,"Trout - Rainbow, Frozen",Ocean State Job Lot,2.59
488,Wine - Riesling Dr. Pauly,Ben Franklin,0.36
489,Oil - Olive Bertolli,Fred Meyer,1.73
490,Banana - Green,Roses,1.11
491,"Halibut - Whole, Fresh",Family Dollar,1.22
492,Ham - Procutinni,Ollie's Bargain Outlet,1.71
493,Beer - Pilsner Urquell,Dollar Tree,1.1
494,Bag - Regular Kraft 20 Lb,National Stores,1.19
495,Lamb - Rack,Dd's Discounts,1.11
496,Cup - 8oz Coffee Perforated,Burlington Coat Factory,1.3
497,Mushroom - Crimini,Target,2.02
498,Wine - Balbach Riverside,Ross Stores,0.55
499,French Kiss Vanilla,Renys,2.25
500,Tea - Vanilla Chai,Marshalls,0.11
501,"Beef - Outside, Round",Meijer,1.65
502,Milk - Buttermilk,Ross Stores,2.94
503,Dasheen,Tuesday Morning,1.45
504,Chef Hat 25cm,Meijer,0.65
505,Daves Island Stinger,Family Dollar,1.62
506,Compound - Pear,Roses,4.54
507,Momiji Oroshi Chili Sauce,Fred Meyer,2.47
508,Compound - Raspberry,Meijer,1.96
509,"Nut - Almond, Blanched, Ground",Ross Stores,1.87
510,Blackberries,National Stores,1.07
511,Puree - Strawberry,Walmart,3.55
512,Gloves - Goldtouch Disposable,Renys,1.28
513,"Lamb - Whole, Frozen",Ocean State Job Lot,0.63
514,Canada Dry,T.J. Maxx,0.77
515,Tumeric,Marshalls,2.29
516,Lotus Rootlets - Canned,Walmart,0.34
517,"Turkey - Breast, Double",Bargain Hunt,1.5
518,Fruit Salad Deluxe,Five Below,0.5
519,Wine - Ej Gallo Sierra Valley,HomeSense,0.97
520,Fond - Neutral,Meijer,2.01
521,Veal - Kidney,Shopko,2.38
522,"Beets - Candy Cane, Organic",Kmart,0.63
523,Appetizer - Tarragon Chicken,Five Below,3.62
524,Garbage Bags - Black,Family Dollar,1.34
525,Horseradish Root,Ocean State Job Lot,1.5
526,Beef Ground Medium,HomeGoods,0.16
527,Water - Spring 1.5lit,Five Below,1.54
528,Cumin - Whole,Marshalls,0.52
529,Compound - Passion Fruit,Marshalls,3.19
530,"Pepper - Green, Chili",Renys,3.76
531,Soup - Campbells - Tomato,Stein Mart,0.11
532,Crab - Soft Shell,Dollar Tree,2.45
533,Wine - Red Oakridge Merlot,Marshalls,2.15
534,Pepper - Pablano,Ross Stores,0.49
535,Yams,Ollie's Bargain Outlet,0.39
536,"Crab - Back Fin Meat, Canned",HomeSense,4.06
537,Beer - Paulaner Hefeweisse,Big Lots,3.43
538,Chicken - Soup Base,Harbor Freight Tools,1.47
539,Poppy Seed,Ben Franklin,0.49
540,Table Cloth 90x90 Colour,Ross Stores,0.09
541,Pork - Backfat,Big Lots,1.93
542,"Squash - Pattypan, Yellow",Gordmans,1.1
